ID,label
0,3
1,0
2,0
3,1
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,2
12,0
13,0
14,1
15,3
16,3
17,3
18,3
19,3
20,4
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,4
30,3
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,2
47,0
48,0
49,2
50,2
51,1
52,1
53,3
54,1
55,0
56,1
57,1
58,0
59,4
60,3
61,2
62,2
63,0
64,0
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,0
73,2
74,3
75,1
76,0
77,0
78,2
79,1
80,0
81,0
82,0
83,1
84,2
85,0
86,0
87,2
88,2
89,1
90,0
91,0
92,0
93,0
94,0
95,2
96,2
97,2
98,3
99,3
100,0
101,1
102,3
103,0
104,2
105,0
106,4
107,0
108,0
109,1
110,3
111,0
112,3
113,2
114,2
115,3
116,2
117,0
118,0
119,3
120,0
121,0
122,3
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,2
133,1
134,0
135,1
136,0
137,0
138,3
139,0
140,2
141,1
142,3
143,1
144,0
145,2
146,0
147,0
148,2
149,3
150,1
151,2
152,0
153,1
154,0
155,3
156,0
157,0
158,2
159,0
160,4
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,2
174,0
175,1
176,0
177,0
178,0
179,4
180,0
181,0
182,0
183,1
