ID,label
0,2
1,0
2,1
3,3
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,2
12,0
13,0
14,0
15,0
16,0
17,3
18,0
19,0
20,3
21,0
22,1
23,0
24,3
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,2
41,0
42,0
43,2
44,0
45,0
46,0
47,1
48,0
49,0
50,3
51,1
52,3
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,3
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,2
70,2
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,3
91,1
92,3
93,2
94,0
95,0
96,1
97,2
98,1
99,1
100,0
101,0
102,3
103,2
104,3
105,0
106,0
107,0
108,0
109,0
110,2
111,0
112,3
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,1
126,0
127,2
128,0
129,0
130,1
131,0
132,3
133,1
134,3
135,1
136,0
137,0
138,3
139,0
140,0
141,1
142,3
143,1
144,0
145,0
146,0
147,0
148,2
149,3
150,0
151,0
152,0
153,3
154,0
155,0
156,0
157,0
158,2
159,0
160,3
161,1
162,1
163,0
164,0
165,0
166,3
167,1
168,0
169,0
170,0
171,3
172,1
173,3
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,2
