ID,label
0,2
1,0
2,0
3,2
4,0
5,0
6,1
7,2
8,1
9,0
10,0
11,2
12,0
13,0
14,0
15,3
16,0
17,2
18,3
19,3
20,1
21,1
22,0
23,0
24,3
25,0
26,0
27,2
28,0
29,0
30,3
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,3
41,0
42,0
43,2
44,0
45,0
46,1
47,0
48,0
49,0
50,2
51,1
52,2
53,1
54,2
55,0
56,1
57,2
58,0
59,1
60,1
61,2
62,2
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,3
75,1
76,0
77,0
78,2
79,1
80,0
81,0
82,0
83,1
84,2
85,1
86,0
87,2
88,1
89,1
90,0
91,0
92,3
93,0
94,1
95,3
96,2
97,3
98,1
99,3
100,0
101,2
102,1
103,0
104,2
105,1
106,2
107,0
108,0
109,0
110,3
111,0
112,2
113,3
114,1
115,1
116,3
117,0
118,0
119,2
120,0
121,0
122,3
123,0
124,0
125,3
126,2
127,3
128,0
129,0
130,0
131,0
132,2
133,1
134,2
135,2
136,0
137,0
138,1
139,0
140,2
141,1
142,0
143,0
144,0
145,2
146,0
147,0
148,2
149,3
150,0
151,2
152,0
153,1
154,1
155,2
156,0
157,0
158,3
159,0
160,2
161,0
162,0
163,0
164,3
165,0
166,3
167,0
168,0
169,0
170,1
171,0
172,0
173,2
174,0
175,2
176,1
177,1
178,0
179,2
180,0
181,0
182,0
183,1
